Variable,Correlation with W_PCT,R² (simple regression),Standardized Coefficient,T-test p-value,Cohen's d
EFG_PCT,0.5273574730526247,0.27810590438444993,0.12632815676387965,1.0399060173208863e-19,0.9727089405246383
FG3A,0.13528785146470865,0.018302802753937142,-0.06828633212424248,0.026222536590022532,0.2261772532390429
