TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,FGA,FG_PCT,FG3A,FG3_PCT,EFG_PCT,TS_PCT,PACE,POSS,OFF_RATING,DEF_RATING,NET_RATING,SEASON,FGA_PER_POSS
1610612766,Charlotte Bobcats,82,43,39,0.524,6730,0.442,1471,0.351,0.481,0.522,92.93,7712,103.0,103.3,-0.4,2013-14,0.8726659751037344
1610612741,Chicago Bulls,82,48,34,0.585,6577,0.432,1459,0.348,0.471,0.518,90.84,7549,101.7,99.9,1.9,2013-14,0.8712412240031793
1610612739,Cleveland Cavaliers,82,33,49,0.402,6955,0.437,1640,0.356,0.479,0.518,93.69,7784,103.5,107.0,-3.6,2013-14,0.8934994861253854
1610612742,Dallas Mavericks,82,49,33,0.598,6858,0.474,1877,0.384,0.526,0.564,94.94,7852,109.5,107.2,2.3,2013-14,0.8734080489047377
1610612743,Denver Nuggets,82,36,46,0.439,7042,0.447,1959,0.358,0.497,0.536,98.95,8146,105.1,107.3,-2.2,2013-14,0.864473361158851
1610612765,Detroit Pistons,82,29,53,0.354,7124,0.447,1580,0.321,0.482,0.514,95.57,7874,105.2,109.0,-3.7,2013-14,0.904749809499619
1610612744,Golden State Warriors,82,51,31,0.622,7005,0.462,2037,0.38,0.517,0.55,97.37,8045,106.3,101.4,4.9,2013-14,0.8707271597265382
1610612745,Houston Rockets,82,54,28,0.659,6603,0.472,2179,0.358,0.531,0.571,97.27,8040,109.8,105.2,4.6,2013-14,0.8212686567164179
1610612754,Indiana Pacers,82,56,26,0.683,6573,0.449,1542,0.357,0.49,0.535,92.89,7656,103.6,98.9,4.7,2013-14,0.8585423197492164
1610612746,Los Angeles Clippers,82,57,25,0.695,6761,0.474,1966,0.352,0.526,0.567,96.66,7954,111.3,104.0,7.3,2013-14,0.8500125722906714
1610612747,Los Angeles Lakers,82,27,55,0.329,6980,0.45,2032,0.381,0.505,0.542,99.72,8177,103.2,109.3,-6.0,2013-14,0.8536137947902653
1610612763,Memphis Grizzlies,82,50,32,0.61,6723,0.464,1147,0.353,0.494,0.529,90.58,7476,105.5,103.8,1.7,2013-14,0.8992776886035313
1610612748,Miami Heat,82,54,28,0.659,6272,0.501,1829,0.364,0.554,0.59,91.9,7615,110.0,105.0,5.1,2013-14,0.8236375574523966
1610612749,Milwaukee Bucks,82,15,67,0.183,6737,0.438,1553,0.353,0.479,0.519,92.96,7685,101.9,110.2,-8.3,2013-14,0.8766428106701366
1610612750,Minnesota Timberwolves,82,40,42,0.488,7175,0.444,1757,0.341,0.486,0.535,98.33,8139,107.7,105.2,2.6,2013-14,0.8815579309497481
1610612740,New Orleans Pelicans,82,34,48,0.415,6761,0.459,1303,0.373,0.495,0.537,93.07,7703,106.2,109.1,-3.0,2013-14,0.8777099831234584
1610612752,New York Knicks,82,37,45,0.451,6739,0.449,2038,0.372,0.505,0.541,91.24,7556,107.0,108.1,-1.1,2013-14,0.8918740074113287
1610612760,Oklahoma City Thunder,82,59,23,0.72,6782,0.471,1839,0.361,0.52,0.566,96.33,7954,109.4,103.0,6.4,2013-14,0.852652753331657
1610612753,Orlando Magic,82,23,59,0.28,6784,0.445,1596,0.353,0.487,0.525,94.27,7837,101.0,106.6,-5.7,2013-14,0.8656373612351665
1610612755,Philadelphia 76ers,82,19,63,0.232,7150,0.435,1847,0.312,0.475,0.51,99.74,8236,99.0,109.0,-10.0,2013-14,0.8681398737251093
1610612756,Phoenix Suns,82,48,34,0.585,6845,0.463,2055,0.372,0.519,0.558,96.83,7973,108.2,105.6,2.6,2013-14,0.8585225134830051
1610612757,Portland Trail Blazers,82,54,28,0.659,7134,0.45,2071,0.372,0.504,0.548,95.9,7930,110.4,106.2,4.2,2013-14,0.8996216897856242
1610612758,Sacramento Kings,82,28,54,0.341,6766,0.447,1475,0.333,0.484,0.532,95.04,7840,105.1,107.8,-2.7,2013-14,0.8630102040816326
1610612759,San Antonio Spurs,82,62,20,0.756,6844,0.486,1757,0.397,0.537,0.571,95.87,7887,109.5,101.4,8.1,2013-14,0.8677570685938887
1610612761,Toronto Raptors,82,48,34,0.585,6718,0.445,1917,0.372,0.498,0.545,92.48,7696,107.9,104.6,3.3,2013-14,0.872920997920998
1610612762,Utah Jazz,82,25,57,0.305,6652,0.444,1577,0.344,0.484,0.523,92.32,7605,102.4,110.1,-7.6,2013-14,0.8746877054569362
1610612764,Washington Wizards,82,44,38,0.537,6920,0.459,1704,0.38,0.506,0.538,94.18,7872,104.9,103.6,1.3,2013-14,0.8790650406504065
1610612737,Atlanta Hawks,82,60,22,0.732,6699,0.466,2152,0.38,0.527,0.563,94.66,7775,108.2,102.3,5.9,2014-15,0.8616077170418006
